S.No,Name,Address,Latitude,Longitude,Website,Type,Stream,Branch,Course,District,Code,Zone,State
4109,Surya Group of Institutions,"NH - 45, GST Road, Vikiravandi, Villupuram(Dt.),Pin 605652",12.1,79.55,www.suryagroup.edu.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Viluppuram,VL,TN Central,Tamil Nadu
4110,Surya Group of Institutions,"NH - 45, GST Road, Vikiravandi, Villupuram(Dt.),Pin 605652",12.1,79.55,www.suryagroup.edu.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Viluppuram,VL,TN Central,Tamil Nadu
4111,Surya Group of Institutions,"NH - 45, GST Road, Vikiravandi, Villupuram(Dt.),Pin 605652",12.1,79.55,www.suryagroup.edu.in,Self Finance,Engineering,Mechanical,Aeronautical Engineering,Viluppuram,VL,TN Central,Tamil Nadu
4112,Surya Group of Institutions,"NH - 45, GST Road, Vikiravandi, Villupuram(Dt.),Pin 605652",12.1,79.55,www.suryagroup.edu.in,Self Finance,Engineering,Mechanical,Automobile Engineering,Viluppuram,VL,TN Central,Tamil Nadu
4113,Surya Group of Institutions,"NH - 45, GST Road, Vikiravandi, Villupuram(Dt.),Pin 605652",12.1,79.55,www.suryagroup.edu.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Viluppuram,VL,TN Central,Tamil Nadu
4114,SURYA POLYTECHNIC COLLEGE,"Ammandivilai, Tamil Nadu 629202, India",8.14,77.33,https://www.scpt.edu.in/,Self Finance,Polytechnic College,Polytechnic College,,Kanniyakumari,KK,TN South,Tamil Nadu
4115,SURYA POLYTECHNIC COLLEGE,"Thiruchi-Chennai Highway, Keezhakondai, Vikravandi, Tamil Nadu 605652, India",12.1,79.55,https://www.scpt.edu.in/,Self Finance,Polytechnic College,Polytechnic College,,Kanniyakumari,KK,TN South,Tamil Nadu
4116,Surya School of Architecture,"NH45,GST Road,Vikravandi, Villupuram(Dt.),Pin - 605652",12,79.5,www.suryagroup.edu.in,Self Finance,Engineering,Architecture,Architecture,Viluppuram,VL,TN Central,Tamil Nadu
4117,SURYA SCHOOL OF PHARMACY,"668, Nehruji Road, Villpuram, Tamil Nadu 605602, India",12.1,79.55,https://www.suryagroup.edu.in/spp/index.php,Self Finance,Medical,Allied Health Sciences,B. Pharm,Viluppuram,VL,TN Central,Tamil Nadu
4118,SUTHANTHIRA POLYTECHNIC COLLEGE,"Suthanthira Polytechnic College, Suthanthira Nagar, Kalayarkovil to Kallal Via, Kalayarkoil, Tamil Nadu 630555, India",9.93,78.63,https://www.suthanthirapolytechnic.com/,Self Finance,Polytechnic College,Polytechnic College,,Sivagangai,SI,TN Central,Tamil Nadu
4119,SVA COLLEGE OF POLYTECHNIC,"NALLUR, N. PUDUPPATTY POST, TRICHI MAIN ROAD,, Namakkal, Tamil Nadu 637020, India",11.2,78.2,http://www.svaect.com/,Self Finance,Polytechnic College,Polytechnic College,,Namakkal,NM,TN West,Tamil Nadu
4120,SVS MEDICAL COLLEGE OF YOGA & NATUROPATHY AND RESEARCH INSTITUTE,"Salem-Chennai Main Road, Bhangaram, Kallakurichi",11.7,78.92,,Self Finance,Medical,AYUSH,BNYS Bachelor of Naturopathy and Yogic Sciences,Kallakurichi,KL,TN Central,Tamil Nadu
4121,SVS POLYTECHNIC COLLEGE,"Thiruchengodu to P.Velur Main Road, Kandampalayam Ramadevam, Paramathi, Mel Sathampoor, Tamil Nadu 637203, India",11.2,77.98,,Self Finance,Polytechnic College,Polytechnic College,,Namakkal,NM,TN West,Tamil Nadu
4122,Swami Dayananda College of Arts and Science,Manjakudi – 612 610.,10.8,79.5,http://www.sdet.in/swami-dayananda-college-of-arts-science-manjakkudi/,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Tiruvarur,TR,TN Central,Tamil Nadu
4123,SWAMI VIVEKANANDA COLLEGE OF NURSING,"Adhiyaman Kottai, Koottu Road, A.Jettihalli, Dharmapuri, Tamil Nadu 636807, India",12.1,78.12,http://www.swamyvivekanandha.org/,Self Finance,Medical,Allied Health Sciences,B.Sc. Nursing,Dharmapuri,DH,TN North,Tamil Nadu
4124,SWAMI VIVEKANANDA POLYTECHNIC COLLEGE,"Kottarakundru Road, Arumbavur Post, Veppanthattai Taluk, Perambalur district., Arumbavur, Tamil Nadu 621103, India",11.4,78.71,http://www.svpc.org.in/,Self Finance,Polytechnic College,Polytechnic College,,Perambalur,PE,TN Central,Tamil Nadu
4125,SWAMY ABEDHANANDHA POLYTECHNIC COLLEGE,"SH 5, Thellar, Tamil Nadu 604406, India",12.4,79.56,www.saptc.in/,Self Finance,Polytechnic College,Polytechnic College,,Tiruvannamalai,TV,TN Central,Tamil Nadu
4126,Swamy Vivekananda Arts and Science College,"Laxmipuram, Orathur X Road, Gingee Main Road, Villupuram - 605 602.",12,79.48,http://www.svasc.in/contactus.html,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Viluppuram,VL,TN Central,Tamil Nadu
4127,SWAMY VIVEKANANDHA COLLEGE OF PHARMACY,"(Vivekanandha Medical Care Hospital)Elayampalayam 637 205 Tiruchengode Tk ,Namakkal District",11.4,77.95,vivekanandhapharmacy.org/,Self Finance,Medical,Allied Health Sciences,B.Sc. Physician Assistant,Namakkal,NM,TN West,Tamil Nadu
4128,SWAMY VIVEKANANDHA COLLEGE OF PHARMACY,"Elayampalayam, Tiruchengode - TK, Namakkal District, Namakkal, Tamil Nadu 637205, India",11.4,77.95,http://vivekanandhapharmacy.org/,Self Finance,Medical,Allied Health Sciences,B. Pharm,Namakkal,NM,TN West,Tamil Nadu
4129,SWAMY VIVEKANANDHA COLLEGE OF PHARMACY,"Elayampalayam, Tiruchengode - TK, Namakkal District, Namakkal, Tamil Nadu 637205, India",11.4,77.95,http://vivekanandhapharmacy.org/,Self Finance,Medical,Allied Health Sciences,PharmD,Namakkal,NM,TN West,Tamil Nadu
4130,Syed Ammal Engineering College,"Dr.E.M.Abdullah Campus, Lanthai, Ramanathapuram(Dt.),Pin 623502",9.37,78.77,www.syedengg.ac.in,Self Finance,Engineering,Civil,Civil Engineering,Ramanathapuram,RA,TN South,Tamil Nadu
4131,Syed Ammal Engineering College,"Dr.E.M.Abdullah Campus, Lanthai, Ramanathapuram(Dt.),Pin 623502",9.37,78.77,www.syedengg.ac.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Ramanathapuram,RA,TN South,Tamil Nadu
4132,Syed Ammal Engineering College,"Dr.E.M.Abdullah Campus, Lanthai, Ramanathapuram(Dt.),Pin 623502",9.37,78.77,www.syedengg.ac.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Ramanathapuram,RA,TN South,Tamil Nadu
4133,Syed Ammal Engineering College,"Dr.E.M.Abdullah Campus, Lanthai, Ramanathapuram(Dt.),Pin 623502",9.37,78.77,www.syedengg.ac.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Ramanathapuram,RA,TN South,Tamil Nadu
4134,Syed Ammal Engineering College,"Dr.E.M.Abdullah Campus, Lanthai, Ramanathapuram(Dt.),Pin 623502",9.37,78.77,www.syedengg.ac.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Ramanathapuram,RA,TN South,Tamil Nadu
4135,Syed Hameedha Arts and Science College,East Coast Rd Keelakarai - 623 806,9.24,78.76,http://www.shartsandscience-edu.in/,Self Finance,Arts Commerce & Science,Arts Commerce & Science,,Ramanathapuram,RA,TN South,Tamil Nadu
4136,T S SRINIVASAN CENTRE FOR POLYTECHNIC COLLEGE AND ADVANCED TRAINING,"No.1, TVS School Road, Vanagaram, Chennai, Tamil Nadu 600095, India",13.1,80.15,https://www.cpat-tvs.org/,Self Finance,Polytechnic College,Polytechnic College,,Chennai,CH,TN North,Tamil Nadu
4137,T.J. Institute of Technology,"Rajiv Gandhi Salai (Old Mahabalipuram Road), Karapakkam, Chennai(Dt.),Pin 600097",12.7,80.19,www.tjit.edu.in,Self Finance,Engineering,Civil,Civil Engineering,Chennai,CH,TN North,Tamil Nadu
